File Path,Size (bytes),Size (MB)
archive/legacy/20250814_084922/xorb-complete.bundle,6999981,6.68
archive/legacy/20250814_084922/source/bin/python3,8021824,7.65
archive/legacy/20250814_084922/source/bin/python,8021824,7.65
archive/legacy/20250814_084922/source/bin/python3.12,8021824,7.65
